wdid,name,position
Q18618891,Dr Mokgweetsi Eric Keabetswe Masisi,President of Botswana
Q52714790,Slumber Tsogwane,Deputy President of Botswana
,Kabo Neal Morwaeng,"Minister for Presidential Affairs, Governance and Public Administration"
,Kagiso Mmusi,"Minister of Defence, Justice and Security"
,Lemogang Kwape,Minister of International Affairs and Co-operation
,Eric Molale,Minister of Local Government and Rural Development
,Karabo Gare,Minister of Agricultural Development and Food Security
,Phildah Kereng,"Minister of Environment, Natural Resources Conservation and Tourism"
,Dr. Edwin Dikoloti,Minister of Health and Wellness
,Thulaganyo Segokgo,Minister of Transport and Communications
,Kefentse Mzwinila,"Minister of Land Management, Water and Sanitation Services"
Q105395314,Tumiso Rakgare,"Minister of Youth Empowerment, Sport and Culture Development"
Q98918703,Anna Mokgethi,"Minister of Nationality, Immigration and Gender Affairs"
Q104837118,Peggy O. Serame,Minister of Finance and Economic Development
,Fidelis Molao,Minister of Basic Education
,Douglas Letsholathebe,"Minister of Tertiary Education, Research, Science and Technology"
,Lefoko Moagi,"Minister of Mineral Resources, Green Technology and Energy Security"
,Mmusi Kgafela,"Minister of Investment, Trade and Industry"
Q104839258,Mpho Balopi,"Minister of Employment, Labour Productivity and Skills Development"
Q96626889,Thapelo Matsheka,Minister of Infrastructure and Housing Development
